Satellite Name,ADM,ORG,Long_nom,Date of bringing into use,Status,Expiry Date for Bringing Into Use,Provision,
CHINASAT-31,CHN,,80,30.06.2000,C,,11.2,
CHINASAT-31,CHN,,80,31.07.2000,C,,11.2,
CHINASAT-32,CHN,,140,31.07.2000,C,,11.2,
CHINASAT-33,CHN,,110.5,30.06.2003,C,,11.2,
CHINASAT-34A,CHN,,79.6,03.11.2005,C,,11.2,
CHINASAT-34B,CHN,,84,03.11.2005,C,,11.2,
CHINASAT-35B,CHN,,140.4,03.11.2005,C,,11.2,
CHINASAT-35C,CHN,,144.5,03.11.2005,C,,11.2,
CHINASAT-4,CHN,,130,18.06.2000,C,,11.2,
CHINASAT-44,CHN,,98,01.09.2005,C,,11.2,
CHINASAT-45,CHN,,101.5,16.09.2005,C,,11.2,
CHINASAT-49,CHN,,125,01.11.2005,C,,11.2,
CHINASAT-51.5E,CHN,,51.5,06.09.2010,C,,11.2,
CHINASAT-6,CHN,,110.5,01.10.1997,C,,11.2,
CHINASAT-64,CHN,,98,18.06.2008,C,,11.2,
CHINASAT-65,CHN,,103,18.06.2008,C,,11.2,
CHINASAT-92.2E,CHN,,92.2,03.07.2008,C,,11.2,
CHINASAT-A5,CHN,,87.5,23.11.2015,C,,11.2,
CHINASAT-C20,CHN,,126,01.09.2017,C,,11.2,
CHINASAT-C20,CHN,,126,27.05.2019,C,,11.2,
CHINASAT-CL11,CHN,,163,19.09.2016,C,,11.2,
CHINASAT-CL11,CHN,,163,13.11.2016,C,,11.2,
CHINASAT-CL2,CHN,,51.5,23.01.2016,C,,11.2,
CHINASAT-D-110.5E,CHN,,110.5,09.08.2011,C,,11.2,
CHINASAT-D-110.5E,CHN,,110.5,09.07.2017,C,,11.2,
CHINASAT-D-115.5E,CHN,,115.5,05.07.2007,C,,11.2,
CHINASAT-D-115.5E,CHN,,115.5,31.12.2023,N,31.12.2023,11.2,
CHINASAT-D-125E,CHN,,125,05.09.2010,C,,11.2,
CHINASAT-D-125E,CHN,,125,19.06.2017,C,,11.2,
CHINASAT-D-163E,CHN,,163,25.04.2020,C,,11.2,
CHINASAT-D-87.5E,CHN,,87.5,17.05.2013,C,,11.2,
CHINASAT-D-87.5E,CHN,,87.5,05.02.2021,C,,11.2,
CHINASAT-DL4,CHN,,110.5,21.06.2011,C,,11.2,
CHINASAT-DL4,CHN,,110.5,09.07.2017,C,,11.2,
CHINASAT-DL5,CHN,,115.5,05.07.2007,C,,11.2,
CHINASAT-DL5,CHN,,115.5,24.12.2019,C,,11.2,
CHINASAT-DL6,CHN,,125,05.09.2010,C,,11.2,
CHINASAT-DL6,CHN,,125,19.06.2017,C,,11.2,
CHINASAT-E-113E,CHN,,113,03.06.2022,C,,11.2,
CHINASAT-E-113E_1,CHN,,113,03.06.2022,C,,11.2,
CHINASAT-E-125E,CHN,,125,06.05.2022,C,,11.2,
CHINASAT-E-163E,CHN,,163,12.11.2022,C,,11.2,
CHINASAT-E-33.5E,CHN,,33.5,03.06.2022,C,,11.2,
CHINASAT-E-85.5E,CHN,,85.5,23.11.2022,C,,11.2,
CHINASAT-E-87.5E,CHN,,87.5,05.02.2021,C,,11.2,
CHINASAT-FSS3,CHN,,125,28.09.2010,C,,A30B#8.1,
CHINASAT-MSB4,CHN,,115.5,05.07.2007,C,,11.2,
CHINASAT-MSB5,CHN,,125,28.09.2010,C,,11.2,
CHINASAT-ROUTE1,CHN,,51.5,15.01.2013,C,,11.2,
CHINASAT-ROUTE15,CHN,,163,09.05.2013,C,,11.2,
CHINASAT-ROUTE7,CHN,,115.5,15.10.2013,C,,11.2,
CHINASAT-ROUTE8,CHN,,125,09.04.2013,C,,11.2,
CHINASAT-ROUTE8,CHN,,125,26.02.2014,C,,11.2,
CHNBSAT-101.4E,CHN,,101.4,05.07.2017,C,,5.1.2,
CHNBSAT-101.4E,CHN,,101.4,05.07.2017,C,,5.1.6,
CHNBSAT-101.4E-TTC,CHN,,101.4,05.07.2017,C,,11.2,
CHNBSAT-134E,CHN,,134,01.12.2018,C,,5.1.2,
CHNBSAT-134E,CHN,,134,01.12.2018,C,,5.1.6,
CHNBSAT-92.2E,CHN,,92.2,30.11.2006,C,,5.1.2,
CHNBSAT-92.2E,CHN,,92.2,30.11.2006,C,,5.1.6,
CHNBSAT-92.2E,CHN,,92.2,03.07.2008,C,,11.2,
CHNBSAT-K-101.4E,CHN,,101.4,05.07.2017,C,,11.2,
CHNNEWSAT-G1-34E,CHN,,34,15.11.2022,C,,11.2,
CHNNEWSAT-G1-78.2E,CHN,,78.2,22.09.2022,N,30.11.2024,11.2,
CHNNEWSAT-G1-78.2E,CHN,,78.2,15.11.2022,N,30.11.2024,11.2,
CHNSAT-103E,CHN,,103,10.11.2015,C,,11.2,
CHNSAT-118E,CHN,,118,10.10.2017,C,,11.2,
CHNSAT-130E,CHN,,130,12.12.2010,C,,11.2,
CHNSAT-2-130E,CHN,,130,18.09.2011,C,,11.2,
CHNSAT-81.5E,CHN,,81.5,16.12.2015,C,,11.2,
CHNSAT-98E,CHN,,98.2,03.06.2012,C,,11.2,
CHNSAT-M-101.4E,CHN,,101.4,01.09.2016,C,,11.2,
CIBOLA,USA,,N-GSO,01.09.2006,C,,11.2,
CLEOSAT,LUX,,N-GSO,10.05.2022,C,,11.2,
CLUSTER 1-5,F,ESA,N-GSO,10.08.2000,N,29.08.2027,11.2,
CLUSTER 1-5,F,ESA,N-GSO,10.08.2000,C,,11.2,
CO3D,F,,N-GSO,31.12.2023,N,04.12.2027,11.2,
COLKA,F,ESA,N-GSO,01.05.2020,C,,11.2,
COLUGO,SNG,,N-GSO,03.02.2018,C,,11.2,
COMMSTELLATION,CAN,,N-GSO,16.04.2018,C,,11.2,
COMPACTSAT,D,,N-GSO,03.12.2018,C,,11.2,
COMPARUS-C,RUS,,N-GSO,31.12.1995,C,,11.2,
COMPARUS-E,RUS,,N-GSO,31.12.1995,C,,11.2,
COMPASS-110.5E,CHN,,110.5,17.08.2006,C,,11.2,
COMPASS-110.5E,CHN,,110.5,23.11.2012,C,,11.2,
COMPASS-140E,CHN,,140,17.10.2006,C,,11.2,
COMPASS-140E,CHN,,140,08.07.2011,C,,11.2,
COMPASS-160E,CHN,,160,24.01.2010,C,,11.2,
COMPASS-160E,CHN,,160,05.11.2010,C,,11.2,
COMPASS-30B-110.5E,CHN,,110.5,27.07.2020,C,,A30B#8.1,
COMPASS-30B-144.5E,CHN,,144.5,18.02.2021,C,,A30B#8.1,
COMPASS-30B-58.75E,CHN,,58.75,16.08.2021,C,,A30B#8.1,
COMPASS-58.75E,CHN,,58.75,08.12.2006,C,,11.2,
COMPASS-58.75E,CHN,,58.75,02.03.2012,C,,11.2,
COMPASS-80.3E,CHN,,80.3,15.12.2018,C,,11.2,
COMPASS-80E,CHN,,80,17.06.2006,C,,11.2,
COMPASS-80E,CHN,,80,26.05.2019,C,,11.2,
COMPASS-A-110.5E,CHN,,110.5,27.07.2020,C,,11.2,
COMPASS-A-140E,CHN,,140,27.07.2020,C,,11.2,
COMPASS-A-144.5E,CHN,,144.5,27.07.2020,C,,11.2,
COMPASS-A-160E,CHN,,160,27.07.2020,C,,11.2,
COMPASS-A-58.75E,CHN,,58.75,27.07.2020,C,,11.2,
COMPASS-A-80E,CHN,,80,27.07.2020,C,,11.2,
COMPASS-A-84E,CHN,,84,27.07.2020,C,,11.2,
COMPASS-B-144.5E,CHN,,144.5,16.06.2016,C,,11.2,
COMPASS-B-84E,CHN,,84,27.06.2016,C,,11.2,
COMPASS-H,CHN,,N-GSO,26.03.2007,C,,11.2,
COMPASS-IGSO,CHN,,N-GSO,18.12.2017,C,,11.2,
COMPASS-IGSO,CHN,,N-GSO,27.07.2020,C,,11.2,
COMPASS-M,CHN,,N-GSO,16.04.2007,C,,11.2,
COMPASS-MEO,CHN,,N-GSO,25.07.2015,C,,11.2,
COMPASS-MEO,CHN,,N-GSO,04.03.2019,C,,11.2,
COMPASS-MEO,CHN,,N-GSO,27.07.2020,C,,11.2,
COMS-128.2E,KOR,,128.2,26.06.2010,C,,11.2,
COSMIC,USA,,N-GSO,15.04.2008,C,,11.2,
COSMIC-2,USA,,N-GSO,25.06.2019,C,,11.2,
COSMO SKYMED,I,,N-GSO,08.06.2007,C,,11.2,
COSMOSKYMED-2,I,,N-GSO,01.06.2020,N,01.01.2024,11.2,
COSMOSKYMED-2,I,,N-GSO,01.06.2020,N,15.07.2023,11.2,
COURIER-3,D,,N-GSO,22.03.2021,C,,11.2,
CRRES,USA,,N-GSO,15.07.1990,C,,11.2,
CRYOSAT-2,F,ESA,N-GSO,08.04.2010,C,,11.2,
C-SAT-LEO,CHN,,N-GSO,11.09.2022,C,,11.2,
CSC-1,HOL,,N-GSO,17.08.2028,N,17.08.2028,11.2,
CSDRN,RUS,,95,01.11.1985,C,,A30B#8.1,
CSDRN,RUS,,95,01.11.1985,C,,11.2,
CSDRN,RUS,,95,01.01.1994,C,,11.2,
CSDRN,RUS,,95,01.01.1994,C,,A30B#8.1,
CSDRN,RUS,,95,01.10.1994,C,,11.2,
CSDRN-M,RUS,,95,26.06.2012,C,,11.2,
CSDRN-M,RUS,,95,28.04.2014,C,,A30B#8.1,
CSDRN-M,RUS,,95,01.01.2015,C,,11.2,
CSDRN-M,RUS,,95,14.08.2018,C,,11.2,
CSDRN-M,RUS,,95,15.10.2022,N,27.11.2022,11.2,
CSDRN-M,RUS,,95,10.06.2023,N,19.04.2026,11.2,
CSO,F,,N-GSO,18.12.2018,C,,11.2,
CSSRD-2,RUS,,77,10.05.1994,C,,A30B#8.1,
CSSRD-2,RUS,,77,10.05.1994,C,,11.2,
CSSRD-2,RUS,,77,01.10.1994,C,,11.2,
CTDRS-1-77E,CHN,,77,01.05.2008,C,,11.2,
CTDRS-1-80E,CHN,,80,20.12.2008,C,,11.2,
CTDRS-2-10.6E,CHN,,10.6,11.07.2016,C,,11.2,
CTDRS-2-16.8E,CHN,,16.8,25.07.2012,C,,11.2,
CTDRS-2-16.8E,CHN,,16.8,30.07.2012,C,,11.2,
CTDRS-2-167E,CHN,,167,02.11.2013,C,,11.2,
CTDRS-2-171E,CHN,,171,28.07.2013,C,,11.2,
CTDRS-2-176.8E,CHN,,176.8,11.07.2011,C,,11.2,
CTDRS-2-20.4E,CHN,,20.4,20.01.2016,C,,11.2,
CTDRS-2-77E,CHN,,77,30.11.2016,C,,11.2,
CTDRS-2-80E,CHN,,80,25.04.2019,C,,11.2,
CUBEL,D,,N-GSO,27.01.2021,C,,11.2,
CUBESAT-UWE,D,,N-GSO,01.01.2020,C,,11.2,
CUBESAT-UWE-4,D,,N-GSO,01.01.2019,C,,11.2,
CUCU,USA,,N-GSO,01.06.2012,C,,11.2,
CUSP,USA,,N-GSO,01.06.2019,C,,11.2,
CUSP,USA,,N-GSO,09.06.2024,N,09.06.2024,11.2,
CUTE-I,J,,N-GSO,30.06.2003,C,,11.2,
CYGNSS,USA,,N-GSO,15.12.2016,C,,11.2,
CYGNUS,USA,,N-GSO,06.01.2012,C,,11.2,
CYP-30B-59.7E,CYP,,59.7,17.03.2017,C,,A30B#8.1,
CYP-30B-59.7E-2,CYP,,59.7,17.03.2017,C,,A30B#8.1,
CYP-30B-59.7E-2,CYP,,59.7,19.03.2018,C,,A30B#8.1,
CZE-BDSAT,CZE,,N-GSO,07.05.2028,N,07.05.2028,11.2,
DBL,LUX,,19.2,01.01.1996,C,,5.1.2,
DBL,LUX,,19.2,01.01.1996,C,,5.1.6,
DBL-24.2E,LUX,,23.5,27.11.2003,C,,5.1.2,
DBL-24.2E,LUX,,23.5,27.11.2003,C,,5.1.6,
DBL-24.2E,LUX,,23.5,01.11.2004,C,,5.1.2,
DBL-28.2E,LUX,,28.2,01.01.1996,C,,5.1.6,
DBL-28.2E,LUX,,28.2,30.08.1998,C,,5.1.2,
DBL-31.5E,LUX,,31.5,22.06.2006,C,,5.1.2,
DBL-31.5E,LUX,,31.5,22.06.2006,C,,5.1.6,
DBL-G3-19.2E,LUX,,19.2,10.01.2009,C,,5.1.2,
DBL-G3-19.2E,LUX,,19.2,10.01.2009,C,,5.1.6,
DBL-G3-23.5E,LUX,,23.5,12.06.2010,C,,5.1.6,
DBL-G3-23.5E,LUX,,23.5,12.06.2010,C,,5.1.2,
DBL-G3-28.2E,LUX,,28.2,24.10.2011,C,,5.1.6,
DBL-G3-28.2E,LUX,,28.2,24.10.2011,C,,5.1.2,
DBL-G3-31.5E,LUX,,31.5,10.07.2010,C,,5.1.2,
DBL-G3-31.5E,LUX,,31.5,10.07.2010,C,,5.1.6,
DBL-G5-28.5E,LUX,,28.5,01.08.2015,C,,5.1.2,
DBL-G5-28.5E,LUX,,28.5,01.08.2015,C,,5.1.6,
DBL-G6-19.2E,LUX,,19.2,01.01.2021,C,,5.1.2,
DBL-G6-19.2E,LUX,,19.2,01.01.2021,C,,5.1.6,
DBL-G6-23.5E,LUX,,23.5,01.01.2021,C,,5.1.2,
DBL-G6-23.5E,LUX,,23.5,01.01.2021,C,,5.1.6,
DBL-G6-28.2E,LUX,,28.2,01.01.2021,C,,5.1.6,
DBL-G6-28.2E,LUX,,28.2,01.01.2021,C,,5.1.2,
DDSP-104E,AUS,,104,29.03.2010,C,,11.2,
DDSP-2,AUS,,88,03.03.2012,C,,11.2,
DDSP-4,AUS,,95,24.10.2017,C,,11.2,
DEF-R-SAT-1A,AUS,,82,06.04.1999,C,,11.2,
DEF-R-SAT-1A,AUS,,82,04.06.1999,C,,11.2,
DEF-R-SAT-2A,AUS,,72,06.04.1999,C,,11.2,
DEF-R-SAT-2A,AUS,,72,04.06.1999,C,,11.2,
DEF-R-SAT-3A,AUS,,93,06.04.1999,C,,11.2,
DEF-R-SAT-3A,AUS,,93,04.06.1999,C,,11.2,
DEF-R-SAT-4B 121.0E,AUS,,121,01.09.2002,C,,11.2,
DEF-R-SAT-5B,AUS,,68,25.02.2021,C,,11.2,
DEF-R-SAT-6B,AUS,,95.6,30.03.2021,C,,11.2,
DEIMOS-1,E,,N-GSO,15.09.2009,C,,11.2,
DEIMOS-2,E,,N-GSO,19.06.2014,C,,11.2,
DELFI-C3,HOL,,N-GSO,28.04.2008,C,,11.2,
DFH-3A-OB,CHN,,110.5,18.07.1998,C,,11.2,
DFH-3A-OC,CHN,,98,01.09.2005,C,,11.2,
DFH-3A-OD,CHN,,130,31.01.2006,C,,11.2,
DFH-3-OA,CHN,,125,15.12.1991,C,,11.2,
DFH-3-OB,CHN,,103,15.06.1992,C,,11.2,
DFH-3-OC,CHN,,87.5,31.10.1997,C,,11.2,
DFH-3-OC M,CHN,,87.5,01.03.2013,C,,11.2,
DFH-3-OC M,CHN,,87.5,17.05.2013,C,,11.2,
DFH-3-OD,CHN,,115.5,10.04.1993,C,,11.2,
DFH-3-OD,CHN,,115.5,15.12.1993,C,,11.2,
DFH-4-OA,CHN,,125,02.12.2005,C,,11.2,
DFH-4-OAF,CHN,,155,15.09.2015,C,,11.2,
DFH-4-OB,CHN,,103,15.11.2003,C,,11.2,
DFH-4-OD,CHN,,115.5,25.02.2006,C,,11.2,
DFH-5-01A,CHN,,94.2,01.09.2018,C,,11.2,
DFH-5-01B,CHN,,107.5,05.01.2017,C,,11.2,
DFH-5-02A,CHN,,59,03.01.2019,C,,11.2,
DFH-5-02B,CHN,,173,07.07.2019,C,,11.2,
DFH-5-03A,CHN,,66.5,07.04.2021,C,,11.2,
DFH-5-03B,CHN,,178.5,10.01.2020,C,,11.2,
DFH-5-OD,CHN,,115.5,05.07.2007,C,,11.2,
DFS II-1,D,,23.5,31.08.2004,C,,11.2,
DFS II-2,D,,28.5,15.04.2001,C,,11.2,
DFS-1,D,,23.5,06.06.1989,C,,11.2,
DFS-2,D,,28.5,24.07.1990,C,,11.2,
DFS-2,D,,28.5,24.09.1990,C,,11.2,
DJCF-1A,G,,39.5,22.04.1999,C,,11.2,
DJCF-1B,G,,46,01.01.2003,C,,11.2,
DJCF-2A,G,,-39,22.04.1999,C,,11.2,
DJCF-2B,G,,-26,01.10.2003,C,,11.2,
DMC1,G,,N-GSO,01.10.2002,C,,11.2,
DMC1,G,,N-GSO,01.08.2009,C,,11.2,
DMC3,G,,N-GSO,10.08.2015,C,,11.2,
DORIS-2,F,,N-GSO,01.04.2000,C,,11.2,
DOUSTI,IRN,,N-GSO,08.11.2024,N,08.11.2024,11.2,
DREBBELSAT-1,HOL,,N-GSO,22.11.2022,N,25.11.2023,11.2,
DRS-90.75E,J,,90.75,09.03.2021,C,,11.2,
DRTS-90.75E,J,,90.75,10.09.2002,C,,11.2,
DRUMS,J,,N-GSO,09.11.2021,C,,11.2,
DSCOVR,USA,,N-GSO,11.02.2015,C,,11.2,
DS-EO,SNG,,N-GSO,30.06.2022,C,,11.2,
DSLWP,CHN,,N-GSO,04.07.2024,N,04.07.2024,11.2,
DSM1,IND,,N-GSO,01.04.2019,C,,11.2,
D-STAR-1,J,,132,01.07.2006,C,,11.2,
D-STAR-2,J,,136,01.07.2006,C,,11.2,
DTRS-ISS,RUS,,N-GSO,28.02.2011,C,,11.2,
DTRS-ISS,RUS,,N-GSO,01.01.2016,C,,11.2,
DTRS-ISS,RUS,,N-GSO,09.05.2019,C,,11.2,
DUBAISAT-2,UAE,,N-GSO,21.11.2013,C,,11.2,
DZZ-HR,KAZ,,N-GSO,01.08.2014,C,,11.2,
DZZ-MR,KAZ,,N-GSO,01.10.2014,C,,11.2,
EARTHCARE,F,ESA,N-GSO,12.01.2025,N,12.01.2025,11.2,
EDRS-1,F,,9,21.04.2016,C,,11.2,
EDRS-31E,F,,31,18.01.2019,C,,11.2,
EGJAN1A,EGY,,-7,30.10.2018,C,,11.2,
EGYCOMM0A,EGY,,35.5,08.12.2019,C,,11.2,
EGY-EX1,EGY,,N-GSO,01.07.2024,N,09.11.2024,11.2,
EGY-EX1,EGY,,N-GSO,09.11.2024,N,09.11.2024,11.2,
EGY-N-SAT,EGY,,-7,08.06.2022,C,,11.2,
ELISA,F,,N-GSO,25.04.2017,C,,11.2,
ELSA-D,J,,N-GSO,22.03.2021,C,,11.2,
EMARSAT-1,UAE,,52.5,23.07.2014,C,,5.1.6,
EMARSAT-1,UAE,,52.5,23.07.2014,C,,5.1.2,
EMARSAT-10F,UAE,,44,01.03.2020,C,,11.2,
EMARSAT-1F,UAE,,44,22.10.2000,C,,11.2,
EMARSAT-1F/M,UAE,,44,01.10.2003,C,,11.2,
EMARSAT-1G,UAE,,52.5,01.03.1998,C,,11.2,
EMARSAT-1G,UAE,,52.5,01.05.2000,C,,11.2,
EMARSAT-4F,UAE,,44,01.10.2003,C,,11.2,
EMARSAT-4S,UAE,,98.5,15.01.2008,C,,11.2,
EMARSAT-5G,UAE,,52.5,22.04.2011,C,,11.2,
EMARSAT-7S,UAE,,98.5,01.08.2014,C,,11.2,
EMM,UAE,,N-GSO,24.06.2020,C,,11.2,
EMU-SSCS,USA,,N-GSO,01.12.1998,C,,11.2,
ENMAP-2,D,,N-GSO,01.04.2022,C,,11.2,
ENMAP-2,D,,N-GSO,01.04.2022,C,,11.2,
ENSAT-23E,RUS,,23,03.02.2021,C,,11.2,
EOE-BSS-2007,NOR,,-0.8,31.07.2014,C,,5.1.2,
EOS AGRISAT-1,AFS,,N-GSO,28.03.2028,N,28.03.2028,11.2,
EOS AM,USA,,N-GSO,18.12.1999,C,,11.2,
EOS PM,USA,,N-GSO,04.05.2002,C,,11.2,
ERG,J,,N-GSO,20.12.2016,C,,11.2,
EROS,ISR,,N-GSO,01.02.2000,C,,11.2,
ESAT 1,G,,25,14.05.2013,C,,11.2,
ESAT-5,G,,33,24.01.2015,C,,11.2,
ESDRN,RUS,,-160,01.10.1986,C,,11.2,
ESDRN,RUS,,-160,01.10.1986,C,,A30B#8.1,
ESDRN,RUS,,-160,01.10.1994,C,,11.2,
ESDRN,RUS,,-160,01.01.1995,C,,A30B#8.1,
ESDRN,RUS,,-160,01.01.1995,C,,11.2,
ESDRN-M,RUS,,-160,09.05.2019,C,,11.2,
ESEO,F,ESA,N-GSO,03.12.2018,C,,11.2,
ESHAILSAT-26E-2,QAT,,26,01.01.2011,C,,A30B#8.1,
ESSAIM,F,,N-GSO,01.01.2005,C,,11.2,
E-STAR-A,EGY,,N-GSO,21.02.2019,C,,11.2,
ESTCUBE-2,EST,,N-GSO,27.02.2029,N,27.02.2029,11.2,
EUCLID,F,ESA,N-GSO,21.06.2026,N,21.06.2026,11.2,
EUROPA CLIPPER,USA,,N-GSO,19.09.2025,N,19.09.2025,11.2,
EUROPE*STAR-1,D,,45,23.07.2000,C,,11.2,
EUROPE*STAR-3,D,,47.5,29.10.2000,C,,11.2,
EUROPESTAR-45E,D,,45,01.07.2012,C,,11.2,
EUROPESTAR-45E-BSSA,D,,45,12.05.2020,C,,5.1.6,
EUROPESTAR-47.5E,D,,47.5,01.11.2012,C,,11.2,
EUROPESTAR-47.5E,D,,47.5,10.12.2012,C,,11.2,
EUROPESTAR-47.5E,D,,47.5,28.12.2012,C,,11.2,
EUROPESTAR-BSS-45E,D,,45,01.11.2016,C,,5.1.2,
EUTELSAT 1-3,F,EUT,7,01.11.1984,C,,11.2,
EUTELSAT 1-5,F,EUT,21.5,15.04.1991,C,,11.2,
EUTELSAT 1-8,F,EUT,25.5,15.10.1993,C,,11.2,
EUTELSAT 2-10E,F,EUT,10,08.03.1991,C,,11.2,
EUTELSAT 2-13E,F,EUT,13,24.09.1990,C,,11.2,
EUTELSAT 2-16E,F,EUT,16,28.12.1991,C,,11.2,
EUTELSAT 2-21.5E,F,EUT,21.5,05.02.2000,C,,11.2,
EUTELSAT 2-33E,F,EUT,33,17.03.2000,C,,11.2,
EUTELSAT 2-36E,F,EUT,36,13.03.1996,C,,11.2,
EUTELSAT 2-36E,F,EUT,36,24.03.1996,C,,11.2,
EUTELSAT 2-7E,F,EUT,7,18.09.1992,C,,11.2,
EUTELSAT 3-10E,F,EUT,10,06.10.2000,C,,11.2,
EUTELSAT 3-10E,F,EUT,10,15.09.2003,C,,11.2,
EUTELSAT 3-12.5W,F,EUT,-12.5,09.08.1999,C,,11.2,
EUTELSAT 3-12.5W,F,EUT,-12.5,02.11.2002,C,,11.2,
EUTELSAT 3-12.5W,F,EUT,-12.5,15.09.2003,C,,11.2,
EUTELSAT 3-13E,F,EUT,13,26.09.2002,C,,11.2,
EUTELSAT 3-13E,F,EUT,13,15.09.2003,C,,11.2,
EUTELSAT 3-16E,F,EUT,16,05.11.1998,C,,11.2,
EUTELSAT 3-16E,F,EUT,16,15.09.2003,C,,11.2,
EUTELSAT 3-21.5E,F,EUT,21.5,01.09.2000,C,,11.2,
EUTELSAT 3-21.5E,F,EUT,21.5,06.11.2003,C,,11.2,
EUTELSAT 3-25.5E,F,EUT,25.5,09.03.2007,C,,11.2,
EUTELSAT 3-33E,F,EUT,33,15.10.2003,C,,11.2,
EUTELSAT 3-36E,F,EUT,36,18.05.2000,C,,11.2,
EUTELSAT 3-36E,F,EUT,36,15.09.2003,C,,11.2,
EUTELSAT 3-70.5E,F,EUT,70.5,31.12.2002,C,,11.2,
EUTELSAT 3-7E,F,EUT,7,12.05.1999,C,,11.2,
EUTELSAT 3-7E,F,EUT,7,15.09.2003,C,,11.2,
EUTELSAT B-10E,F,EUT,10,17.09.2006,C,,5.1.2,
EUTELSAT B-10E,F,EUT,10,17.09.2006,C,,5.1.6,
EUTELSAT B-13E,F,EUT,13,18.12.1996,C,,5.1.2,
EUTELSAT B-13E,F,EUT,13,18.12.1996,C,,5.1.6,
EUTELSAT B-13E,F,EUT,13,06.02.2003,C,,5.1.2,
EUTELSAT B-13E,F,EUT,13,06.02.2003,C,,5.1.6,
EUTELSAT B-36E,F,EUT,36,18.04.2000,C,,5.1.2,
EUTELSAT B-36E,F,EUT,36,27.04.2000,C,,5.1.6,
EUTELSAT B-36E,F,EUT,36,27.04.2007,C,,5.1.2,
EUTELSAT B-36E,F,EUT,36,27.04.2007,C,,5.1.6,
EUTELSAT B-48.2E,F,EUT,48.2,09.08.2009,C,,5.1.2,
EUTELSAT B-48.2E,F,EUT,48.2,09.08.2009,C,,5.1.6,
EUTELSAT B-48E,F,EUT,48,04.07.2006,C,,5.1.2,
EUTELSAT B-48E,F,EUT,48,04.07.2006,C,,5.1.6,
EUTELSAT B-9E,F,EUT,9,15.05.2007,C,,5.1.6,
EUTELSAT B-9E,F,EUT,9,15.05.2007,C,,5.1.2,
EUTELSAT EXB-10E,F,EUT,10,12.07.2007,C,,A30B#8.1,
EUTELSAT EXB-12.5W,F,EUT,-12.5,01.10.2002,C,,A30B#8.1,
EUTELSAT EXB-13E,F,EUT,13,29.04.1995,C,,A30B#8.1,
EUTELSAT EXB-13E,F,EUT,13,10.03.2014,C,,A30B#8.1,
EUTELSAT EXB-16E,F,EUT,16,19.11.1998,C,,A30B#8.1,
EUTELSAT EXB-28.5E,F,EUT,28.5,01.04.2001,C,,A30B#8.1,
EUTELSAT EXB-33E,F,EUT,33,12.10.2007,C,,A30B#8.1,
EUTELSAT EXB-36E,F,EUT,36,04.10.2012,C,,A30B#8.1,
EUTELSAT EXB-37.2W,F,EUT,13,26.09.2002,C,,A30B#8.1,
EUTELSAT EXB-48E,F,EUT,48,16.09.2004,C,,A30B#8.1,
EUTELSAT EXB-64W,F,EUT,-61,02.02.2007,C,,A30B#8.1,
EUTELSAT EXB-64W_C,F,EUT,-61,02.02.2007,C,,A30B#8.1,
EUTELSAT EXB-70.5E,F,EUT,70.5,30.12.2002,C,,A30B#8.1,
EUTELSAT EXB-70.5E,F,EUT,70.5,10.03.2014,C,,A30B#8.1,
EUTELSAT EXB-7E,F,EUT,7,12.04.1999,C,,A30B#8.1,
EUTELSAT EXB-7E,F,EUT,7,25.06.2014,C,,A30B#8.1,
EUTELSAT-B1-13E,F,EUT,13,31.03.1998,C,,11.2,
EUTELSAT-B1-16E,F,EUT,16,29.03.1998,C,,11.2,
EUTELSAT-B1-7E,F,EUT,7,16.05.2004,C,,11.2,
EUTELSAT-E-70.5E,F,EUT,70.5,31.12.2002,C,,11.2,
EUTELSAT-KA-16E,F,EUT,16,24.09.2002,C,,11.2,
EUTELSAT-KA-36E,F,EUT,36,03.09.2002,C,,11.2,
EUTELSAT-KA-7E,F,EUT,7,01.10.2002,C,,11.2,
EXOMARS TGO,F,ESA,N-GSO,14.03.2016,C,,11.2,
EXPRESS-10,RUS,,140,15.05.2000,C,,11.2,
EXPRESS-10,RUS,,140,30.06.2000,C,,11.2,
EXPRESS-10B,RUS,,140,21.04.2006,C,,11.2,
EXPRESS-10KA,RUS,,140,22.04.2014,C,,11.2,
EXPRESS-10KA,RUS,,140,20.12.2015,C,,11.2,
EXPRESS-10P,RUS,,140,22.04.2014,C,,A30B#8.1,
EXPRESS-11,RUS,,145,20.05.2000,C,,11.2,
EXPRESS-11,RUS,,145,30.06.2000,C,,11.2,
EXPRESS-2,RUS,,-14,31.12.1995,C,,11.2,
EXPRESS-2B,RUS,,-14,21.04.2006,C,,11.2,
EXPRESS-3,RUS,,-11,20.12.1999,C,,11.2,
EXPRESS-3,RUS,,-11,15.06.2000,C,,11.2,
EXPRESS-3,RUS,,-11,29.06.2000,C,,11.2,
EXPRESS-4,RUS,,40,31.12.1997,C,,11.2,
EXPRESS-4,RUS,,40,20.12.1999,C,,11.2,
EXPRESS-4B,RUS,,40,21.04.2006,C,,11.2,
EXPRESS-4B,RUS,,40,24.04.2015,C,,11.2,
EXPRESS-4P,RUS,,40,24.04.2015,C,,A30B#8.1,
EXPRESS-4P,RUS,,40,15.08.2019,N,15.08.2019,A30B#8.1,
EXPRESS-5,RUS,,53,31.12.1998,C,,11.2,
EXPRESS-5,RUS,,53,20.12.1999,C,,11.2,
